ID,Localisation_producteur,X,Y,Secteur_activite,PRO,QA_t_kl,QSS_t_kl,QSP_t_kl,C/N,N_kg/t_L,P_kg/t_L,K_kg/t_L,C_kg/t_L,Prix_FCFA/kg_L,Type,destination,source,utilisation,Origine
34,35.0,14.0,7.68116,-5.050556,3.0,10.0,0.6,0.3,0.3,12.65,5.9,2.02,9.32,78.62,10.0,2.0,6.0,1.0,1.0,0.0
35,36.0,15.0,7.721357,-4.9837698,4.0,11.0,10.4,4.33,6.07,48.7,10.0,16.0,11.0,487.0,12.5,2.0,7.0,1.0,4.0,0.0
36,37.0,20.0,7.720978,-5.004407,5.0,11.0,20.8,8.67,12.13,48.7,10.0,16.0,11.0,487.0,12.0,2.0,8.0,1.0,4.0,0.0
37,38.0,21.0,7.6458123,-5.0343906,1.0,12.0,5381.6,2242.33,3139.27,48.7,1.0,0.49,1.7,487.0,50.0,0.0,9.0,1.0,7.0,0.0
38,39.0,22.0,7.6849811,-5.0774466,1.0,12.0,1575.0,656.25,918.75,5.691666666666666,1.0,0.49,1.7,253.8,7.0,0.0,9.0,1.0,7.0,0.0
39,40.0,23.0,7.670965,-5.100908,1.0,12.0,151.2,63.0,88.2,15.41860465116279,1.0,0.49,1.7,265.2,40.0,0.0,9.0,1.0,7.0,0.0
40,41.0,24.0,7.7063625,-5.0306719,1.0,12.0,399.84,166.6,233.24,15.41860465116279,1.0,0.49,1.7,265.2,100.0,0.0,9.0,1.0,7.0,0.0
41,42.0,25.0,7.736619,-5.051762,1.0,12.0,749.7,312.375,124.95,15.41860465116279,1.0,0.49,1.7,265.2,200.0,0.0,9.0,1.0,7.0,0.0
42,43.0,26.0,7.6414125,-5.0275156,1.0,12.0,4032.0,1680.0,2352.0,48.7,1.0,0.49,1.7,487.0,75.0,0.0,9.0,1.0,7.0,0.0
43,44.0,27.0,7.669656,-4.995378,1.0,12.0,1050.0,437.5,612.5,10.75,1.0,0.49,1.7,500.0,60.0,0.0,9.0,1.0,7.0,0.0
44,45.0,0.0,7.6979921,-4.9665355,0.0,0.0,139356.0,58065.0,81291.0,13.7029702970297,5050.0,5645.0,3918.0,69200.0,50.0,0.0,6.0,1.0,0.0,0.0
45,46.0,3.0,7.6997875,-4.9858906,1.0,1.0,2.16,0.9,1.26,15.41860465116279,17.2,11.13,6.96,265.2,10.0,0.0,6.0,1.0,3.0,0.0
46,47.0,27.0,7.669656,-4.995378,1.0,1.0,187.2,78.0,109.2,15.41860465116279,17.2,11.13,6.96,265.2,68.0,0.0,10.0,1.0,8.0,0.0
47,48.0,27.0,7.669692,-4.996481,1.0,1.0,25.5,10.5,14.7,15.41860465116279,17.2,11.13,6.96,265.2,150.0,0.0,10.0,1.0,8.0,0.0
48,49.0,27.0,7.669692,-4.996481,1.0,1.0,3.96,1.65,2.31,15.41860465116279,17.2,11.13,6.96,265.2,55.0,0.0,10.0,1.0,8.0,0.0
49,50.0,1.0,7.7297761,-5.029549,1.0,1.0,324.0,135.0,189.0,15.41860465116279,17.2,11.13,6.96,265.2,25.0,0.0,6.0,1.0,0.0,0.0
50,51.0,2.0,7.733258,-5.07806,1.0,1.0,36.0,12.0,24.0,15.41860465116279,17.2,11.13,6.96,265.2,80.0,0.0,6.0,1.0,0.0,0.0
51,52.0,3.0,7.7018479,-4.9873749,1.0,1.0,36.5,15.208,21.292,15.41860465116279,17.2,11.13,6.96,265.2,30.0,0.0,6.0,1.0,0.0,0.0
52,53.0,4.0,7.719345,-4.965051,1.0,1.0,48.0,20.0,28.0,15.41860465116279,17.2,11.13,6.96,265.2,80.0,0.0,6.0,1.0,0.0,0.0
53,54.0,4.0,7.7246042,-4.9702225,1.0,1.0,36.0,15.0,21.0,15.41860465116279,17.2,11.13,6.96,265.2,30.0,0.0,6.0,1.0,0.0,0.0
54,55.0,4.0,7.724476,-4.966772,1.0,1.0,107.4,44.75,62.65,15.41860465116279,17.2,11.13,6.96,265.2,65.0,0.0,6.0,1.0,0.0,0.0
55,56.0,2.0,7.733312,-5.078748,1.0,2.0,8.2,3.42,4.78,26.52,9.2,2.1,8.1,265.2,48.0,0.0,6.0,1.0,0.0,0.0
56,57.0,0.0,7.6986125,-4.9675469,6.0,13.0,216000.0,90000.0,126000.0,13.7029702970297,7.4,0.36,9.28,69200.0,55.0,0.0,11.0,1.0,9.0,0.0
57,58.0,28.0,7.7547882,-5.1071,6.0,13.0,11250.0,3750.0,7500.0,48.7,12.0,1.0,7.6,487.0,45.0,0.0,11.0,1.0,9.0,0.0
58,59.0,29.0,7.7021625,-5.0234531,6.0,14.0,2.632,1.095,1.533,23.395,12.0,1.0,7.6,425.0,30.5,0.0,6.0,1.0,0.0,0.0
59,60.0,3.0,7.6992125,-4.9883906,1.0,15.0,7.8,3.25,4.55,22.0,13.5,5.0,10.0,300.0,29.0,0.0,12.0,1.0,3.0,0.0
60,61.0,3.0,7.6997875,-4.9858906,1.0,15.0,1.2,0.5,0.7,22.0,13.5,5.0,10.0,300.0,29.0,0.0,6.0,1.0,3.0,0.0
61,62.0,30.0,7.6600296,-5.0528285,1.0,16.0,0.4,0.17,0.23,33.33,15.0,7.0,10.0,500.0,11.25,0.0,12.0,1.0,10.0,0.0
62,63.0,31.0,7.671682,-5.104247,1.0,17.0,0.42,0.175,0.245,10.79815100154083,32.45,19.85,25.05,350.4,8.0,0.0,6.0,1.0,3.0,0.0
63,64.0,32.0,7.764124,-5.0723917,1.0,18.0,1.82,0.755,1.057,13.46,26.0,12.0,8.0,350.0,6.0,0.0,12.0,1.0,3.0,0.0
64,65.0,11.0,7.6637435,-5.0663804,1.0,18.0,38.33,15.969,22.361,13.46,26.0,12.0,8.0,350.0,8.0,0.0,13.0,1.0,3.0,0.0
65,66.0,26.0,7.641413,-5.0275161,1.0,18.0,10.92,4.55,6.37,13.46,26.0,12.0,8.0,350.0,8.0,0.0,9.0,1.0,3.0,0.0
66,67.0,5.0,7.7114418,-4.972965,1.0,18.0,76.65,31.95,44.7,13.46,26.0,12.0,8.0,350.0,10.0,0.0,12.0,1.0,8.0,0.0
67,68.0,18.0,7.6735938,5.1454125,2.0,19.0,200.0,98.0,102.0,10.75,46.5,2.4,41.5,500.0,100.0,0.0,12.0,1.0,8.0,0.0
68,69.0,8.0,7.7141646,-4.970018,2.0,19.0,100.0,68.0,32.0,10.75,46.5,2.4,41.5,500.0,25.0,0.0,6.0,1.0,8.0,0.0
69,70.0,8.0,7.7141646,-4.970018,2.0,20.0,1200.0,470.0,730.0,10.75,46.5,2.4,41.5,500.0,35.0,0.0,7.0,1.0,4.0,0.0
70,71.0,18.0,7.6735937,5.1454124,2.0,20.0,1100.0,730.0,970.0,10.75,46.5,2.4,41.5,500.0,24.0,0.0,12.0,1.0,8.0,0.0
71,72.0,23.0,7.7058943,-5.0799305,1.0,3.0,39.42,16.425,22.995,16.67,1.89,2.85,1.48,31.5,80.0,0.0,6.0,1.0,3.0,0.0
72,73.0,5.0,7.7131672,-4.9701863,1.0,3.0,35.0,14.6,20.4,16.67,1.89,2.85,1.48,31.5,100.0,0.0,6.0,1.0,1.0,0.0
73,74.0,5.0,7.7131672,-4.9701863,1.0,3.0,23.0,9.6,13.4,16.67,1.89,2.85,1.48,31.5,200.0,0.0,6.0,1.0,1.0,0.0
74,75.0,6.0,7.711374,-5.056545,1.0,3.0,2.19,0.91,1.28,16.67,1.89,2.85,1.48,31.5,30.0,0.0,6.0,1.0,1.0,0.0
75,76.0,0.0,7.686289,-4.958266,1.0,3.0,2.4,1.0,1.4,16.67,1.89,2.85,1.48,31.5,65.0,0.0,6.0,1.0,1.0,0.0
76,77.0,0.0,7.686071,-4.958593,1.0,3.0,6.6,2.75,3.85,16.67,1.89,2.85,1.48,31.5,40.0,0.0,6.0,1.0,1.0,0.0
77,78.0,5.0,7.7114419,-4.9729651,1.0,3.0,3.3,1.4,1.9,16.67,1.89,2.85,1.48,31.5,80.0,0.0,6.0,1.0,1.0,0.0
78,79.0,0.0,7.6861733,-4.9581737,1.0,3.0,4.5,2.4,2.1,16.66666666666667,1.89,2.85,1.48,31.5,15.0,0.0,12.0,1.0,1.0,0.0
79,80.0,7.0,7.660101,-5.003497,1.0,3.0,9.864,4.11,5.754,16.67,1.89,2.85,1.48,31.5,10.0,0.0,6.0,1.0,1.0,0.0
80,81.0,7.0,7.660101,-5.003497,1.0,3.0,6.57,2.738,3.832,16.67,1.89,2.85,1.48,31.5,64.0,0.0,6.0,1.0,1.0,0.0
81,82.0,8.0,7.7141646,-4.970018,1.0,3.0,39.42,16.425,22.995,16.67,1.89,2.85,1.48,31.5,35.0,0.0,14.0,1.0,2.0,0.0
82,83.0,9.0,7.6165171,-5.0362038,1.0,3.0,7.665,3.195,4.473,16.67,1.89,2.85,1.48,31.5,45.0,0.0,6.0,1.0,3.0,0.0
83,84.0,5.0,7.7140038,-4.9695952,1.0,3.0,14.0,5.85,8.15,16.67,1.89,2.85,1.48,31.5,27.5,0.0,6.0,1.0,3.0,0.0
84,85.0,3.0,7.7047982,-4.9849126,1.0,3.0,3.285,1.369,1.916,16.67,1.89,2.85,1.48,31.5,72.0,0.0,6.0,1.0,3.0,0.0
85,86.0,31.0,7.671683,-5.104248,1.0,4.0,0.9,0.375,0.525,7.471938775510204,3.92,20.23,11.9,29.29,6.0,0.0,6.0,1.0,3.0,0.0
86,87.0,31.0,7.671684,-5.104249,1.0,4.0,0.54,0.225,0.315,7.471938775510204,3.92,20.23,11.9,29.29,6.0,0.0,6.0,1.0,3.0,0.0
87,88.0,32.0,7.7641238,-5.0723915,1.0,4.0,1.825,0.798,1.027,4.276923076923077,6.5,18.88,18.49,27.8,6.0,0.0,12.0,1.0,3.0,0.0
88,89.0,32.0,7.7641239,-5.0723916,1.0,4.0,1.825,0.798,1.027,4.276923076923077,6.5,18.88,18.49,27.8,6.0,0.0,12.0,1.0,3.0,0.0
89,90.0,33.0,7.7273375,-4.9854944,1.0,4.0,6.12,2.55,3.57,10.79815100154083,32.45,19.85,25.05,350.4,8.0,0.0,6.0,1.0,3.0,0.0
90,91.0,33.0,7.7273375,-4.9854944,1.0,4.0,3.12,1.3,1.82,10.79815100154083,32.45,19.85,25.05,350.4,8.0,0.0,6.0,1.0,3.0,0.0
91,92.0,12.0,7.7000122,-5.1002288,1.0,4.0,2.34,0.975,1.365,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,15.0,1.0,3.0,0.0
92,93.0,32.0,7.75893,-5.071378,1.0,4.0,3.25,1.35,1.89,4.276923076923077,6.5,18.88,18.49,27.8,5.0,0.0,6.0,1.0,3.0,0.0
93,94.0,32.0,7.75893,-5.071378,1.0,4.0,3.9,1.625,2.275,4.276923076923077,6.5,18.88,18.49,27.8,5.0,0.0,6.0,1.0,3.0,0.0
94,95.0,7.0,7.6648982,-5.0055485,1.0,4.0,2.97,1.238,1.733,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,16.0,1.0,3.0,0.0
95,96.0,7.0,7.6648982,-5.0055485,1.0,4.0,0.18,0.075,1.05,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,16.0,1.0,3.0,0.0
96,97.0,5.0,7.7115159,-4.974332,1.0,4.0,1.5,0.65,0.85,9.15625,3.2,2.5,2.0,29.3,54.5,0.0,12.0,1.0,8.0,0.0
97,98.0,14.0,7.68232,-5.05385,1.0,4.0,4.813,2.0,2.8,7.471938775510204,3.92,20.23,11.9,29.29,5.0,0.0,6.0,1.0,3.0,0.0
98,99.0,14.0,7.68232,-5.05385,1.0,4.0,2.0,0.8,1.12,7.471938775510204,3.92,20.23,11.9,29.29,25.0,0.0,6.0,1.0,3.0,0.0
99,100.0,7.0,7.6659632,-5.005519,1.0,4.0,4.5,1.875,2.625,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,12.0,1.0,3.0,0.0
100,101.0,7.0,7.6659632,-5.005519,1.0,4.0,7.5,3.125,4.375,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,12.0,1.0,3.0,0.0
101,102.0,34.0,7.6890281,-4.972176,1.0,4.0,34.0,16.19,17.81,7.471938775510204,3.92,20.23,11.9,29.29,5.0,0.0,6.0,1.0,3.0,0.0
102,103.0,10.0,7.648463,-5.011233,1.0,4.0,4.16,1.82,2.34,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,6.0,1.0,3.0,0.0
103,104.0,11.0,7.6605606,-5.0591189,1.0,4.0,3.66,1.6,2.06,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,6.0,1.0,3.0,0.0
104,105.0,12.0,7.7006906,-5.0991083,1.0,4.0,1.95,0.8,1.15,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,6.0,1.0,3.0,0.0
105,106.0,13.0,7.694235,-5.054717,1.0,4.0,1.95,0.813,1.138,4.276923076923077,6.5,18.88,18.49,27.8,15.0,0.0,6.0,1.0,3.0,0.0
106,107.0,14.0,7.6762875,-5.0561406,1.0,4.0,1.3,0.55,0.75,7.471938775510204,3.92,20.23,11.9,29.29,5.0,0.0,6.0,1.0,3.0,0.0
107,108.0,7.0,7.663072,-5.002425,1.0,4.0,34.1,14.2,19.9,4.276923076923077,6.5,18.88,18.49,27.8,20.0,0.0,6.0,1.0,3.0,0.0
108,109.0,7.0,7.662548,-4.99779,1.0,4.0,36.4,14.42,20.18,4.276923076923077,6.5,18.88,18.49,27.8,67.5,0.0,6.0,1.0,3.0,0.0
109,110.0,15.0,7.7162807,-4.9812361,1.0,4.0,54.6,22.75,31.85,7.471938775510204,3.92,20.23,11.9,29.29,67.5,0.0,16.0,1.0,3.0,0.0
